Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.3800        -328.7892    -329.0304       0.2412   266.6
2.3900        -328.8143    -328.9451       0.1308   144.6
2.4000        -328.7282    -328.8605       0.1323   146.2
2.4100        -328.5032    -328.7878       0.2846   314.5
2.4200        -328.4186    -328.7125       0.2939   324.8
2.4300        -328.3135    -328.5079       0.1944   214.9
2.4400        -328.1014    -328.3812       0.2798   309.2
2.4500        -328.1261    -328.3165       0.1904   210.4
2.4600        -328.0005    -328.2632       0.2626   290.3
2.4700        -327.9999    -328.2859       0.2860   316.1
2.4800        -327.9454    -328.2425       0.2971   328.4
2.4900        -327.8631    -328.0286       0.1655   182.9
2.5000        -327.7568    -327.9552       0.1984   219.3
2.5100        -327.5864    -327.9891       0.4027   445.1
2.5200        -327.8271    -328.2289       0.4018   444.1
2.5300        -328.1690    -328.5039       0.3349   370.1
2.5400        -328.3935    -328.6524       0.2590   286.2
2.5500        -328.4349    -328.7481       0.3133   346.2
2.5600        -328.3182    -328.4787       0.1605   177.4
2.5700        -328.4454    -328.6882       0.2427   268.3
2.5800        -328.2179    -328.4800       0.2621   289.7
2.5900        -328.1134    -328.3554       0.2420   267.5
2.6000        -327.9989    -328.2198       0.2208   244.0
2.6100        -327.7364    -328.0161       0.2796   309.1
2.6200        -328.0799    -328.3716       0.2917   322.4
2.6300        -328.2502    -328.5847       0.3345   369.7
2.6400        -328.6207    -328.8529       0.2322   256.6
2.6500        -329.1480    -329.3162       0.1682   185.9
2.6600        -329.2107    -329.4980       0.2873   317.5
2.6700        -329.3477    -329.7030       0.3553   392.7
2.6800        -329.3797    -329.7267       0.3469   383.4
2.6900        -329.3188    -329.8038       0.4849   536.0
2.7000        -329.5896    -330.0244       0.4348   480.6
2.7100        -330.1009    -330.4655       0.3646   403.0
2.7200        -329.7733    -330.1780       0.4047   447.3
2.7300        -330.0708    -330.4677       0.3968   438.6
2.7400        -330.5758    -330.9415       0.3657   404.2
2.7500        -330.7955    -330.9816       0.1860   205.6
2.7600        -330.7760    -330.9292       0.1533   169.4
2.7700        -330.7123    -330.8832       0.1708   188.8
2.7800        -330.7573    -330.9736       0.2163   239.1
2.7900        -330.7672    -330.9696       0.2024   223.7
2.8000        -330.6439    -330.9107       0.2668   294.9
2.8100        -330.6518    -330.8777       0.2260   249.7
2.8200        -330.8356    -331.1561       0.3206   354.3
2.8300        -330.9740    -331.1105       0.1366   150.9
2.8400        -330.8402    -331.0805       0.2404   265.7
2.8500        -330.7029    -330.9262       0.2233   246.8
2.8600        -330.5843    -330.7698       0.1855   205.0
2.8700        -330.5422    -330.7418       0.1995   220.5
2.8800        -330.6764    -330.8411       0.1647   182.0
2.8900        -330.3306    -330.6191       0.2885   318.8
2.9000        -330.2140    -330.4352       0.2212   244.4
2.9100        -330.2304    -330.3704       0.1400   154.7
2.9200        -330.0080    -330.2567       0.2487   274.9
2.9300        -330.0667    -330.3044       0.2378   262.8
2.9400        -330.1678    -330.3625       0.1948   215.2
2.9500        -330.1466    -330.4142       0.2676   295.7
2.9600        -330.5222    -330.7378       0.2156   238.3
2.9700        -330.3401    -330.5097       0.1697   187.5
2.9800        -330.1940    -330.6065       0.4125   455.9
2.9900        -330.3935    -330.7471       0.3536   390.8
3.0000        -330.3048    -330.8349       0.5302   585.9
