Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.9100       -1533.3306   -1533.3991       0.0685   132.5
2.9200       -1533.0359   -1533.3110       0.2751   532.0
2.9300       -1533.0447   -1533.2931       0.2484   480.4
2.9400       -1533.0835   -1533.3620       0.2786   538.8
2.9500       -1532.9750   -1533.3602       0.3852   745.0
2.9600       -1533.0999   -1533.3590       0.2591   501.2
2.9700       -1533.0808   -1533.3142       0.2333   451.3
2.9800       -1533.1453   -1533.3521       0.2068   399.9
2.9900       -1533.0672   -1533.4907       0.4236   819.2
3.0000       -1533.3198   -1533.4714       0.1516   293.2
3.0100       -1533.2928   -1533.3990       0.1062   205.4
3.0200       -1533.3141   -1533.4541       0.1401   270.9
3.0300       -1533.1847   -1533.3758       0.1911   369.6
3.0400       -1533.0054   -1533.4180       0.4126   798.1
3.0500       -1533.3041   -1533.3983       0.0942   182.2
3.0600       -1533.1908   -1533.3607       0.1699   328.7
3.0700       -1533.1897   -1533.2899       0.1002   193.8
3.0800       -1533.1862   -1533.3404       0.1541   298.1
3.0900       -1533.2208   -1533.3694       0.1486   287.4
3.1000       -1532.9956   -1533.1856       0.1900   367.5
3.1100       -1532.9324   -1533.2694       0.3370   651.7
3.1200       -1532.9641   -1533.1392       0.1751   338.6
3.1300       -1533.2203   -1533.3056       0.0853   165.0
3.1400       -1533.1335   -1533.3407       0.2072   400.7
3.1500       -1533.0405   -1533.3577       0.3172   613.5
3.1600       -1533.3066   -1533.3749       0.0683   132.0
3.1700       -1533.2034   -1533.3022       0.0988   191.1
3.1800       -1533.2113   -1533.3552       0.1438   278.2
3.1900       -1533.1839   -1533.2723       0.0884   171.0
3.2000       -1533.0677   -1533.2746       0.2069   400.2
3.2100       -1533.0903   -1533.1738       0.0835   161.6
3.2200       -1533.0732   -1533.1757       0.1025   198.3
3.2300       -1533.0296   -1533.1664       0.1369   264.7
3.2400       -1533.3556   -1533.4510       0.0955   184.6
3.2500       -1533.1636   -1533.3195       0.1560   301.7
3.2600       -1533.2661   -1533.3512       0.0852   164.8
3.2700       -1533.0343   -1533.2932       0.2590   500.8
3.2800       -1532.8695   -1533.1188       0.2493   482.1
3.2900       -1533.0608   -1533.3031       0.2423   468.6
3.3000       -1532.8276   -1533.1339       0.3063   592.3
3.3100       -1532.9501   -1533.3369       0.3868   748.2
3.3200       -1533.1751   -1533.3284       0.1533   296.5
3.3300       -1533.2764   -1533.3377       0.0613   118.5
3.3400       -1533.1156   -1533.2702       0.1547   299.1
3.3500       -1533.0686   -1533.3318       0.2632   509.1
3.3600       -1533.0433   -1533.2367       0.1934   374.1
3.3700       -1533.1039   -1533.2171       0.1132   218.8
3.3800       -1533.1865   -1533.2142       0.0277    53.6
3.3900       -1533.1492   -1533.2190       0.0699   135.2
3.4000       -1533.0814   -1533.2959       0.2145   415.0
3.4100       -1533.0571   -1533.3095       0.2524   488.2
3.4200       -1532.8675   -1533.1040       0.2365   457.4
